COD_ORACLE;UBICACION ;TIPO;DESCRIPCION ;COD_ACTIVO ;ESTADO;FABRICANTE;PAIS_ORIGEN ;AÑO_FABRICACION ;MODELO;SERIE;PESO;VOLTAJE (V);POTENCIA (KW);CONSUMO (KW);CONEXION
MQ25090;GINEBRA;TERMOFORMADORA;TERMOFORMADORA RDK54 #1 25090;119939/120446/120295;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;----;2002;RDK 54;----;----;440;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ25810;GINEBRA;EMPACADORA;EMPACADORA RENNCO #1;----;ACTIVO ;RENNCO;EEUU;----;DC;M8004666;;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ81450;GINEBRA;LLENADORA;LLENADORA  COMADIS;----;ACTIVO ;----;----;----;----;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ12682;GINEBRA;SELLADORA;SELLADORA AUTOMATICA;121141;ACTIVO ;----;----;----;----;----;----;220;----;----;TRAFO #2 DE 1000KVASUB ESTACIÓN #2
MQ35061;GINEBRA;ESPUMADO;TERMOFORMADORA COMMODORE SX-28 F02;297692;ACTIVO ;COMMODORE;----;----;SX-28;SX-28071010689F02;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35062;GINEBRA;ESPUMADO;TERMOFORMADORA COMMODORE SX-28 F03;297693/120567;ACTIVO ;COMMODORE;----;----;SX-28;SX-28071010689F03;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35060;GINEBRA;ESPUMADO;TERMOFORMADORA COMMODORE SX-28 F01;227892/121284;ACTIVO ;COMMODORE;----;----;SX-28;SX-28071010689F01;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35069;GINEBRA;TERMOFORMADORA;TERMOFORMADORA COMMODORE SX-28 F04;121909;ACTIVO ;COMMODORE;EEUU;2000;730-28;3531;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35049;GINEBRA;EXTRUSORA;EXTRUSORA DE ESPUMA BATTENFELD #01 ;119734;ACTIVO ;BATTENFELD GLOUCESTER ENGINEERING;EEUU;1992;168 WINDER;34272-26;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35059;GINEBRA;EXTRUSORA ;EXTRUSORA COMMODORE 035-045;122902;ACTIVO ;COMMODORE;----;----;PR-38;PR-36071010688P01;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35064;GINEBRA;MOLINO;MOLINO COMMODORE AG-40;122412;ACTIVO ;COMMODORE;----;----;AG-40;AG-4007101060A01;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35063;GINEBRA;PALETIZADORA;PELETIZADORA CHI-CHANG;----;ACTIVO ;----;----;----;----;----;----;440;----;----;TRAFO #2 DE 500KVASUB ESTACIÓN #1
MQ35099;GINEBRA;TERMOFORMADORA;TERMOFORMADORA GABLER D600;459920/120386;ACTIVO ;ADOLF ILLIG MASCHINENBAU GMBH & CO;----;1997/1996;----;----;----;440;----;----;TRAFO #3 DE 1250KVASUB ESTACIÓN #1
MQ35092;GINEBRA;TERMOFORMADORA;THERMO RUNNER TR4 #1;120256;ACTIVO ;MOULD&MATIC;----;2010;----;----;----;440;----;----;TRAFO #3 DE 1250KVASUB ESTACIÓN #1
